id,first_name,last_name,position,team_abbr,team_name,quotation,avg_pts,popularity,is_injured,probability_of_playing,opponent_abbr,round_number,started_from_bench,label
11233,Hugo,Robineau,Guard,JLB,Cosea JL Bourg-en-Bresse,8.8,0,0,false,1,NAP,2,true,opponent
11234,Kadin,Shedrick,Center,JLB,Cosea JL Bourg-en-Bresse,8.7,0,0,false,1,NAP,2,true,opponent
11235,Assémian,Moulare,Guard,JLB,Cosea JL Bourg-en-Bresse,8,0,0,false,1,NAP,2,true,opponent
11236,Nathan,Soliman,Forward,JLB,Cosea JL Bourg-en-Bresse,5,0,0,false,1,NAP,2,true,opponent
11237,Darius,Brown Ii,Guard,TRE,Dolomiti Energia Trento,12,0,0,false,1,NEP,1,true,opponent
11238,Charlie,Brown Jr,Forward,TRE,Dolomiti Energia Trento,10.7,0,0,false,1,NEP,1,true,opponent
11239,Quincy,Olivari,Guard,TRE,Dolomiti Energia Trento,10.2,0,0,false,1,NEP,1,true,opponent
11240,Isaiah,Bigelow,Forward,TRE,Dolomiti Energia Trento,9.5,0,0,false,1,NEP,1,true,opponent
11241,Alessandro,Bertini,Guard,TRE,Dolomiti Energia Trento,6.4,0,0,false,1,NEP,1,true,opponent
11242,Cheikh,Niang,Guard,TRE,Dolomiti Energia Trento,5.5,0,0,false,1,NEP,1,true,opponent
11243,Federico,Cattapan,Guard,TRE,Dolomiti Energia Trento,4,0,0,false,1,NEP,1,true,opponent
11244,Kenny,Lofton Jr,Forward,JLM,Hapoel Midtown Jerusalem,13.2,0,0,false,1,ROS,1,true,opponent
11245,David,Roddy,Forward,JLM,Hapoel Midtown Jerusalem,13,0,0,false,1,ROS,1,true,opponent
11246,Shake,Milton,Guard,JLM,Hapoel Midtown Jerusalem,12.5,0,0,false,1,ROS,1,true,opponent
11247,Devontae,Cacok,Center,JLM,Hapoel Midtown Jerusalem,11.8,0,0,false,1,ROS,1,true,opponent
11248,Ethan,Burg,Guard,JLM,Hapoel Midtown Jerusalem,7,0,0,false,1,ROS,1,true,opponent
11249,Roi,Huber,Guard,JLM,Hapoel Midtown Jerusalem,4,0,0,false,1,ROS,1,true,opponent
11250,Nick,Ogenda,Center,MAN,Kids&Us Manresa,12.2,0,0,false,1,PBC,2,true,opponent
11251,Colby,Jones,Guard,MAN,Kids&Us Manresa,11.9,0,0,false,1,PBC,2,true,opponent
11252,Timmy,Allen,Forward,MAN,Kids&Us Manresa,9.7,0,0,false,1,PBC,2,true,opponent
11253,Jd,Notae,Guard,MAN,Kids&Us Manresa,9.5,0,0,false,1,PBC,2,true,opponent
11254,Lukasz,Kolenda,Guard,MAN,Kids&Us Manresa,8.3,0,0,false,1,PBC,2,true,opponent
11255,Chibuzo,Agbo,Forward,MAN,Kids&Us Manresa,8.2,0,0,false,1,PBC,2,true,opponent
11256,Pablo,Tamba,Forward,MAN,Kids&Us Manresa,6.8,0,0,false,1,PBC,2,true,opponent
11257,Lucas,Beaufort,Guard,MAN,Kids&Us Manresa,6.3,0,0,false,1,PBC,2,true,opponent
11258,Eric,Vila,Forward,MAN,Kids&Us Manresa,4.6,0,0,false,1,PBC,2,true,opponent
11259,Giorgi,Shermadini,Center,LLT,La Laguna Tenerife,12,0,0,false,1,TTA,2,true,opponent
11260,Marcelinho,Huertas,Guard,LLT,La Laguna Tenerife,11.4,0,0,false,1,TTA,2,true,opponent
11261,Kyle,Guy,Guard,LLT,La Laguna Tenerife,10.5,0,0,false,1,TTA,2,true,opponent
11262,Vince,Hunter,Center,LLT,La Laguna Tenerife,10.1,0,0,false,1,TTA,2,true,opponent
11263,Jaka,Lakovic,Head Coach,LLT,La Laguna Tenerife,9.5,0,0,false,1,TTA,2,true,opponent
11264,Jaime,Fernandez,Guard,LLT,La Laguna Tenerife,8.5,0,0,false,1,TTA,2,true,opponent
11265,Tj,Bamba,Guard,LLT,La Laguna Tenerife,8.5,0,0,false,1,TTA,2,true,opponent
11266,Rokas,Giedraitis,Forward,LLT,La Laguna Tenerife,8.2,0,0,false,1,TTA,2,true,opponent
11267,Fran,Guerra,Center,LLT,La Laguna Tenerife,7.8,0,0,false,1,TTA,2,true,opponent
11268,Tim,Abromaitis,Forward,LLT,La Laguna Tenerife,7.7,0,0,false,1,TTA,2,true,opponent
11269,Wesley,Van Beck,Guard,LLT,La Laguna Tenerife,7.6,0,0,false,1,TTA,2,true,opponent
11270,Bruno,Fitipaldo,Guard,LLT,La Laguna Tenerife,7.5,0,0,false,1,TTA,2,true,opponent
11271,Arturs,Kurucks,Guard,LLT,La Laguna Tenerife,7.3,0,0,false,1,TTA,2,true,opponent
11272,Aaron,Doornekamp,Forward,LLT,La Laguna Tenerife,7.1,0,0,false,1,TTA,2,true,opponent
11273,Joan,Sastre,Guard,LLT,La Laguna Tenerife,5,0,0,false,1,TTA,2,true,opponent
11274,Hector,Alderete,Forward,LLT,La Laguna Tenerife,4.1,0,0,false,1,TTA,2,true,opponent
11275,Tashawn,Thomas,Forward,MSB,Le Mans Sarthe Basket,10,0,0,false,1,ARI,1,true,opponent
11276,Lucas,Dufeal,Forward,MSB,Le Mans Sarthe Basket,9.6,0,0,false,1,ARI,1,true,opponent
11277,Jordan,King,Guard,MSB,Le Mans Sarthe Basket,9.3,0,0,false,1,ARI,1,true,opponent
11278,Leopold,Delaunay,Guard,MSB,Le Mans Sarthe Basket,8.8,0,0,false,1,ARI,1,true,opponent
11279,Wilfried,Yeguete,Center,MSB,Le Mans Sarthe Basket,8.5,0,0,false,1,ARI,1,true,opponent
11280,Moses,Wood,Forward,MSB,Le Mans Sarthe Basket,8,0,0,false,1,ARI,1,true,opponent
11281,Guillaume,Vizade,Head Coach,MSB,Le Mans Sarthe Basket,7,0,0,false,1,ARI,1,true,opponent
